name,area_km2,circuity_avg,intersect_count,intersect_density_3way,intersect_density_4way,street_length_avg,streets_per_node_avg,streets_per_node_stddev
Belo_Horizonte,2245.164249272733,1.0399505154596864,48627,15.388183742544147,5.945667451423248,110.99090892723541,3.093633662994021,0.7938101273900997
Bogota,2023.4811746783207,1.0383389301534078,55991,19.268773284336763,7.530092293753252,78.10741235556748,2.9642674200208,0.8982729454764611
Buenos_Aires,6245.189027558639,1.0108804763254766,165175,11.666900662009764,14.50108228916209,103.9332338351015,3.4377334814567515,0.7530662818900807
Cabimas,1926.7097412531011,1.0373034041015579,7789,3.323801122132149,0.7131328453793836,112.0981445620208,2.817032672737011,0.8829923973131087
Caracas,1487.6300801498342,1.1758455044748881,11518,6.2286990049748985,1.4022303177614546,144.7806576238739,2.7299794661190964,0.9760556221743687
Cochabamba,2626.0712293661336,1.0282163914170444,23773,6.317041142865024,2.6202640366540617,91.59796009587208,3.053415028380258,0.844568463303309
Cordoba,6150.93209335389,1.0255019773381673,28273,2.66398649038983,1.8819911883774363,99.87226010539146,3.2665805768020926,0.7763635681427119
Culiacan,8184.7121934527995,1.0246428649334325,15613,1.1206258428166798,0.7658180094608537,88.30400538795061,3.114800067298525,0.9326147594400994
Curitiba,4769.563747597769,1.0309035814929346,42558,5.7527273880801735,3.09441298639388,107.60775190738728,2.9546039546039546,0.9952630342615976
Florianopolis,1589.8117959137396,1.0530978719567285,10809,5.368559990520471,1.3844406021248457,107.47201444597462,2.692340455739334,1.0022905590908757
Guadalajara,2387.3273228966,1.0423979468334676,73323,20.695109349334864,9.633366895033058,86.62950110347961,2.9964366356195313,0.9197294827900457
Guatemala_City,1922.7569420203301,1.0761197861307068,34548,13.931558074029708,3.860602366204596,85.45741696167988,2.7412436317321687,0.9883568184093285
Holguin,588.429544037639,1.0364298905261151,2650,2.827866168279209,1.645056761354732,90.84347798993211,3.0845210473980775,0.9052321999612298
Ilheus,1583.4507526331477,1.056309009433688,1384,0.6309005811129558,0.24250833147885387,106.30755102609815,2.8189158016147635,0.9994630877457764
Jequie,3226.023592542001,1.0223627333862049,3267,0.7343405688280492,0.2737115754644016,86.85374906490561,3.097774020850944,0.7580965480741931
Leon,818.6278901217464,1.0266024343212923,1869,1.4609812522049923,0.8086702248826965,90.82500041909903,3.090909090909091,0.8853097246969778
Mexico_City,6046.18798383087,1.0394483149348561,174644,20.645074273875192,8.031837602447663,98.76984221424014,2.9197908298014617,0.9416196919157095
Palmas,2222.5278848540124,1.066414113975902,5093,1.8699427927641,0.39909510519291547,108.46769037074098,2.8794182310164045,0.8449709140083327
Quito,981.1899899634334,1.052638455199528,32740,24.759730784560265,8.385735774074334,97.40332855821912,2.831312755671253,0.9718384513100502
Reynosa,3138.2449516261627,1.0284803171481183,10230,2.222579851960161,1.0193595622108325,107.13760423444201,3.0586858529819696,0.8637209288145291
Ribeirao_Preto,651.7761935037674,1.0306826273550378,14042,14.078452222491247,7.298517570007722,98.12663591371444,3.093982808022923,0.8575754458937018
Santiago,4359.140710606506,1.0378722436208205,99508,17.184579478641663,5.449468502404655,79.13195586112842,2.9621363584319043,0.8470781999942617
San_Salvador,882.7122587590317,1.0703568139516626,15431,13.866353252199879,3.4983087289863746,94.7436496466612,2.5985700174043935,1.0451784501636432
Sao_Paulo,5639.413972620276,1.0556203434902949,185425,26.42242628816376,6.174932389973133,102.96084792812469,2.9245049270866827,0.8209839680058986
Tijuana,1733.6951316936825,1.0582275455121501,27832,11.274185202853463,4.679023348283398,106.05330775639352,2.845105328376704,1.011097516797137
Valledupar,21.501,1.0117446959099703,5159,124.08725175573228,114.18073577973117,78.39054155082067,3.361545538178473,0.7418509584719909
